brand,Country,Value,Glossier,,
Rare Beauty,Japan,60%,Glossier,,
Milk Makeup,Japan,2%,Glossier,,
Rhode Beauty,Japan,6%,Glossier,,
Glossier,Iran,15%,Glossier,,
Rare Beauty,Iran,73%,Glossier,,
Milk Makeup,Iran,8%,Glossier,,
Rhode Beauty,Iran,4%,Glossier,,
Glossier You Eau de Parfum,United Kingdom,5%,Glossier,,
Glossier Balm Dotcom,United Kingdom,3%,Glossier,,
glossier you,United Kingdom,7%,Glossier,,
no makeup makeup,United Kingdom,27%,Glossier,,
Glossier You Eau de Parfum,United States,6%,Glossier,,
Glossier Balm Dotcom,United States,2%,Glossier,,
glossier you,United States,7%,Glossier,,
no makeup makeup,United States,37%,Glossier,,
Glossier You Eau de Parfum,Australia,6%,Glossier,,
Glossier Balm Dotcom,Australia,3%,Glossier,,
glossier you,Australia,7%,Glossier,,
no makeup makeup,Australia,31%,Glossier,,
Glossier You Eau de Parfum,Ireland,7%,Glossier,,
Glossier Balm Dotcom,Ireland,4%,Glossier,,
glossier you,Ireland,9%,Glossier,,
no makeup makeup,Ireland,32%,Glossier,,
Glossier You Eau de Parfum,New Zealand,5%,Glossier,,
Glossier Balm Dotcom,New Zealand,6%,Glossier,,
glossier you,New Zealand,6%,Glossier,,
no makeup makeup,New Zealand,35%,Glossier,,
Glossier You Eau de Parfum,Canada,6%,Glossier,,
Glossier Balm Dotcom,Canada,1%,Glossier,,
glossier you,Canada,7%,Glossier,,
no makeup makeup,Canada,42%,Glossier,,
Glossier You Eau de Parfum,Singapore,6%,Glossier,,
glossier you,Singapore,4%,Glossier,,
no makeup makeup,Singapore,42%,Glossier,,
no makeup makeup,Kuwait,28%,Glossier,,
Glossier You Eau de Parfum,Denmark,7%,Glossier,,
glossier you,Denmark,7%,Glossier,,
no makeup makeup,Denmark,30%,Glossier,,
Glossier You Eau de Parfum,United Arab Emirates,7%,Glossier,,
Glossier Balm Dotcom,United Arab Emirates,,Glossier,,
glossier you,United Arab Emirates,8%,Glossier,,
no makeup makeup,United Arab Emirates,28%,Glossier,,
Glossier You Eau de Parfum,Sweden,12%,Glossier,,
glossier you,Sweden,11%,Glossier,,
no makeup makeup,Sweden,30%,Glossier,,
no makeup makeup,St. Helena,52%,Glossier,,
glossier you,Norway,10%,Glossier,,
no makeup makeup,Norway,42%,Glossier,,
Glossier You Eau de Parfum,Netherlands,9%,Glossier,,
glossier you,Netherlands,8%,Glossier,,
no makeup makeup,Netherlands,27%,Glossier,,
Glossier You Eau de Parfum,France,9%,Glossier,,
Glossier Balm Dotcom,France,1%,Glossier,,
glossier you,France,8%,Glossier,,
no makeup makeup,France,16%,Glossier,,
Glossier You Eau de Parfum,Belgium,9%,Glossier,,
glossier you,Belgium,8%,Glossier,,
no makeup makeup,Belgium,28%,Glossier,,
Glossier You Eau de Parfum,Greece,13%,Glossier,,
glossier you,Greece,10%,Glossier,,
no makeup makeup,Greece,27%,Glossier,,
Glossier You Eau de Parfum,Switzerland,11%,Glossier,,
glossier you,Switzerland,12%,Glossier,,
no makeup makeup,Switzerland,29%,Glossier,,
Glossier You Eau de Parfum,Israel,9%,Glossier,,
glossier you,Israel,12%,Glossier,,
no makeup makeup,Israel,28%,Glossier,,
no makeup makeup,Hong Kong,48%,Glossier,,
Glossier You Eau de Parfum,Mexico,7%,Glossier,,
Glossier Balm Dotcom,Mexico,3%,Glossier,,
glossier you,Mexico,7%,Glossier,,
no makeup makeup,Mexico,22%,Glossier,,
glossier you,Portugal,9%,Glossier,,
no makeup makeup,Portugal,38%,Glossier,,
Glossier You Eau de Parfum,Saudi Arabia,6%,Glossier,,
Glossier Balm Dotcom,Saudi Arabia,6%,Glossier,,
glossier you,Saudi Arabia,11%,Glossier,,
